ID,Category
"91700","/Art & Theater Aficionados"
"91401","/Auto Enthusiasts"
"91300","/Auto Enthusiasts/Motorcycle Enthusiasts"
"91400","/Auto Enthusiasts/Performance & Luxury Vehicle Enthusiasts"
"92912","/Auto Enthusiasts/Truck & SUV Enthusiasts"
"92601","/Avid Investors"
"92505","/Beauty Mavens"
"92913","/Business Professionals"
"92914","/Comics & Animation Fans"
"90800","/Cooking Enthusiasts"
"90801","/Cooking Enthusiasts/30 Minute Chefs"
"90802","/Cooking Enthusiasts/Aspiring Chefs"
"90700","/Do-It-Yourselfers"
"91000","/Family-Focused"
"92504","/Fashionistas"
"92900","/Fast Food Cravers"
"92300","/Foodies"
"91600","/Gamers"
"92904","/Gamers/Action Game Fans"
"92905","/Gamers/Adventure & Strategy Game Fans"
"91602","/Gamers/Casual & Social Gamers"
"92906","/Gamers/Driving & Racing Game Fans"
"91601","/Gamers/Hardcore Gamers"
"92907","/Gamers/Roleplaying Game Fans"
"92908","/Gamers/Shooter Game Fans"
"92909","/Gamers/Sports Game Fans"
"90600","/Green Living Enthusiasts"
"90400","/Health & Fitness Buffs"
"92508","/Home Decor Enthusiasts"
"92910","/Mobile Enthusiasts"
"91800","/Movie Lovers"
"91801","/Movie Lovers/Action & Adventure Movie Fans"
"91803","/Movie Lovers/Comedy Movie Fans"
"91802","/Movie Lovers/Family Movie Fans"
"91804","/Movie Lovers/Horror Movie Fans"
"91805","/Movie Lovers/Romance & Drama Movie Fans"
"91806","/Movie Lovers/Sci-Fi & Fantasy Movie Fans"
"92916","/Movie Lovers/South Asian Film Fans"
"91900","/Music Lovers"
"91906","/Music Lovers/Blues Fans"
"91903","/Music Lovers/Classical Music Enthusiasts"
"91904","/Music Lovers/Country Music Fans"
"91907","/Music Lovers/Electronica & Dance Music Fans"
"91908","/Music Lovers/Folk & Traditional Music Enthusiasts"
"91912","/Music Lovers/Indie & Alternative Rock Fans"
"91905","/Music Lovers/Jazz Enthusiasts"
"91910","/Music Lovers/Metalheads"
"91901","/Music Lovers/Pop Music Fans"
"91909","/Music Lovers/Rap & Hip Hop Fans"
"91902","/Music Lovers/Rock Music Fans"
"91911","/Music Lovers/Spanish-Language Music Fans"
"92915","/Music Lovers/World Music Fans"
"92000","/News Junkies & Avid Readers"
"92002","/News Junkies & Avid Readers/Business & Economic News Junkies"
"92006","/News Junkies & Avid Readers/Entertainment & Celebrity News Junkies"
"92005","/News Junkies & Avid Readers/Local News Junkies"
"92008","/News Junkies & Avid Readers/Men's Media Fans"
"92007","/News Junkies & Avid Readers/Women's Media Fans"
"92001","/News Junkies & Avid Readers/World News Junkies"
"92400","/Nightlife Enthusiasts"
"90100","/Outdoor Enthusiasts"
"91100","/Pet Lovers"
"91101","/Pet Lovers/Cat Lovers"
"91102","/Pet Lovers/Dog Lovers"
"92702","/Political Junkies"
"92901","/Shoppers"
"92503","/Shoppers/Bargain Hunters"
"92501","/Shoppers/Luxury Shoppers"
"92500","/Shoppers/Shopaholics"
"92502","/Shoppers/Value Shoppers"
"90900","/Shutterbugs"
"92911","/Social Media Enthusiasts"
"90200","/Sports Fans"
"90201","/Sports Fans/American Football Fans"
"92919","/Sports Fans/Australian Football Fans"
"90204","/Sports Fans/Baseball Fans"
"90202","/Sports Fans/Basketball Fans"
"90209","/Sports Fans/Boating & Sailing Enthusiasts"
"92917","/Sports Fans/Cricket Enthusiasts"
"90217","/Sports Fans/Cycling Enthusiasts"
"92902","/Sports Fans/Fight & Wrestling Fans"
"90206","/Sports Fans/Golf Enthusiasts"
"90205","/Sports Fans/Hockey Fans"
"92903","/Sports Fans/Motor Sports Enthusiasts"
"90208","/Sports Fans/Racquetball Enthusiasts"
"92918","/Sports Fans/Rugby Enthusiasts"
"90216","/Sports Fans/Running Enthusiasts"
"90218","/Sports Fans/Skiing Enthusiasts"
"90203","/Sports Fans/Soccer Fans"
"90212","/Sports Fans/Swimming Enthusiasts"
"90207","/Sports Fans/Tennis Enthusiasts"
"90211","/Sports Fans/Water Sports Enthusiasts"
"90210","/Sports Fans/Winter Sports Enthusiasts"
"92800","/TV Lovers"
"92801","/TV Lovers/Documentary & Nonfiction TV Fans"
"92803","/TV Lovers/Family Television Fans"
"92804","/TV Lovers/Game, Reality & Talk Show Fans"
"92805","/TV Lovers/Sci-Fi & Fantasy TV Fans"
"92806","/TV Lovers/TV Comedy Fans"
"92802","/TV Lovers/TV Drama Fans"
"92507","/Technophiles"
"90300","/Thrill Seekers"
"91500","/Travel Buffs"
"91504","/Travel Buffs/Beachbound Travelers"
"91502","/Travel Buffs/Family Vacationers"
"91501","/Travel Buffs/Luxury Travelers"
"91505","/Travel Buffs/Snowbound Travelers"
