Criterion ID,Category
"80562","/Sports & Fitness/Outdoor Recreational Equipment/Camping & Hiking Equipment"
"80563","/Sports & Fitness/Outdoor Recreational Equipment/Fishing Equipment"
"80593","/Event Tickets"
"80595","/Event Tickets/Performing Arts Tickets"
"80596","/Event Tickets/Performing Arts Tickets/Broadway & Theater Tickets"
"80597","/Event Tickets/Concert & Music Festival Tickets"
"80598","/Event Tickets/Sports Tickets"
"80599","/Event Tickets/Sports Tickets/American Football Tickets"
"80600","/Event Tickets/Sports Tickets/Baseball Tickets"
"80601","/Event Tickets/Sports Tickets/Basketball Tickets"
"80602","/Event Tickets/Sports Tickets/Hockey Tickets"
"80603","/Event Tickets/Sports Tickets/Soccer Tickets"
"80604","/Travel/Bus & Rail Travel"
"80605","/Travel/Trips by Destination"
"80606","/Travel/Trips by Destination/Trips to Asia-Pacific"
"80607","/Travel/Trips by Destination/Trips to Europe"
"80608","/Travel/Trips by Destination/Trips to Latin America"
"80609","/Travel/Trips by Destination/Trips to the Middle East & Africa"
"80610","/Travel/Trips by Destination/Trips to North America"
"80611","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Indonesia/Trips to Bali"
"80612","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Thailand/Trips to Bangkok"
"80613","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China/Trips to Beijing"
"80614","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan/Trips to Fukuoka"
"80615","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Hong Kong"
"80616","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to India"
"80617","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan/Trips to Kyoto-Osaka-Kobe"
"80618","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Malaysia"
"80619","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Australia/Trips to Melbourne"
"80620","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan/Trips to Nagoya"
"80621","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to New Zealand"
"80622","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to the Philippines"
"80623","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Seoul"
"80624","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to China/Trips to Shanghai"
"80625","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Singapore"
"80626","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Australia/Trips to Sydney"
"80627","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Taipei"
"80628","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Japan/Trips to Tokyo"
"80629","/Travel/Trips by Destination/Trips to Asia-Pacific/Trips to Vietnam"
"80630","/Travel/Trips by Destination/Trips to Europe/Trips to Amsterdam"
"80631","/Travel/Trips by Destination/Trips to Europe/Trips to Spain/Trips to Barcelona"
"80632","/Travel/Trips by Destination/Trips to Europe/Trips to Germany/Trips to Berlin"
"80633","/Travel/Trips by Destination/Trips to Europe/Trips to Spain/Trips to the Canary Islands"
"80634","/Travel/Trips by Destination/Trips to Europe/Trips to Croatia"
"80635","/Travel/Trips by Destination/Trips to Europe/Trips to Germany/Trips to Frankfurt"
"80636","/Travel/Trips by Destination/Trips to Europe/Trips to Greece"
"80637","/Travel/Trips by Destination/Trips to Europe/Trips to Ireland"
"80638","/Travel/Trips by Destination/Trips to Europe/Trips to the UK/Trips to London, UK"
"80639","/Travel/Trips by Destination/Trips to Europe/Trips to Spain/Trips to Madrid"
"80640","/Travel/Trips by Destination/Trips to Europe/Trips to Moscow"
