ID,Category
"80428","/Apparel & Accessories"
"80429","/Apparel & Accessories/Activewear"
"80430","/Apparel & Accessories/Costumes"
"80431","/Apparel & Accessories/Formal Wear"
"80443","/Apparel & Accessories/Formal Wear/Bridal Wear"
"80444","/Apparel & Accessories/Formal Wear/Suits & Business Attire"
"80432","/Apparel & Accessories/Handbags"
"80433","/Apparel & Accessories/Jewelry & Watches"
"80445","/Apparel & Accessories/Jewelry & Watches/Fine Jewelry"
"80447","/Apparel & Accessories/Jewelry & Watches/Watches"
"80446","/Apparel & Accessories/Jewelry & Watches/Wedding & Engagement Rings"
"80434","/Apparel & Accessories/Lingerie"
"80435","/Apparel & Accessories/Luggage"
"80436","/Apparel & Accessories/Men's Apparel"
"80438","/Apparel & Accessories/Outerwear"
"80437","/Apparel & Accessories/Perfumes & Fragrances"
"80439","/Apparel & Accessories/Shoes"
"80448","/Apparel & Accessories/Shoes/Athletic Shoes"
"80449","/Apparel & Accessories/Shoes/Boots"
"80450","/Apparel & Accessories/Shoes/Dress Shoes"
"80440","/Apparel & Accessories/Swimwear"
"80441","/Apparel & Accessories/Wallets, Briefcases & Leather Goods"
"80442","/Apparel & Accessories/Women's Apparel"
"80001","/Autos & Vehicles"
"80468","/Autos & Vehicles/Auto Parts & Accessories"
"80470","/Autos & Vehicles/Auto Parts & Accessories/Auto Exterior Parts & Accessories"
"80471","/Autos & Vehicles/Auto Parts & Accessories/Auto Interior Parts & Accessories"
"80472","/Autos & Vehicles/Auto Parts & Accessories/Automotive Electronic Components"
"80473","/Autos & Vehicles/Auto Parts & Accessories/Car Batteries"
"80474","/Autos & Vehicles/Auto Parts & Accessories/Car Brakes"
"80475","/Autos & Vehicles/Auto Parts & Accessories/Engine & Transmission"
"80476","/Autos & Vehicles/Auto Parts & Accessories/High Performance & Aftermarket Auto Parts"
"80477","/Autos & Vehicles/Auto Parts & Accessories/Wheels & Tires"
"80469","/Autos & Vehicles/Auto Repair & Maintenance"
"80479","/Autos & Vehicles/Auto Repair & Maintenance/Brake Service & Repair"
"80480","/Autos & Vehicles/Auto Repair & Maintenance/Collision & Auto Body Repair"
"80478","/Autos & Vehicles/Auto Repair & Maintenance/Glass Repair & Replacement"
"80481","/Autos & Vehicles/Auto Repair & Maintenance/Oil Changes"
"80482","/Autos & Vehicles/Auto Repair & Maintenance/Transmission Repair"
"80206","/Autos & Vehicles/Motor Vehicles"
"80097","/Autos & Vehicles/Motor Vehicles/Motor Vehicles (New)"
"80099","/Autos & Vehicles/Motor Vehicles/Motor Vehicles (Used)"
"80013","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand"
"80014","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Acura"
"80093","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Alfa Romeo"
"80015","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Audi"
"80016","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/BMW"
"80054","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Buick"
"80017","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Cadillac"
"80018","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Chevrolet"
"80019","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Chrysler"
"80020","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Citroën"
"80021","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Dodge"
"80022","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Fiat"
"80023","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Ford"
"80045","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/GM-Daewoo"
"80024","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/GMC"
"80025","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Honda"
"80056","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Hummer"
"80026","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Hyundai"
"80080","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Infiniti"
"80081","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Isuzu"
"80057","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Jaguar"
"80027","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Jeep"
"80028","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Kia"
"80059","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Land Rover"
"80029","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Lexus"
"80030","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Lincoln"
"80060","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Maserati"
"80031","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mazda"
"80032","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mercedes-Benz"
"80033","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mercury"
"80061","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mini"
"80034","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Mitsubishi"
"80035","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Nissan"
"80036","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Peugeot"
"80037","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Pontiac"
"80038","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Porsche"
"80039","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Renault"
"80094","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/SEAT"
"80046","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Saab"
"80040","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Saturn"
"80063","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Scion"
"80041","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Subaru"
"80064","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Suzuki"
"80042","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Toyota"
"80047","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Vauxhall-Opel"
"80043","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volkswagen"
"80044","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Brand/Volvo"
"80171","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type"
"80049","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Classic Vehicles"
"80111","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Compact Cars"
"80172","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Compact Cars/Compact Cars (New)"
"80112","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Compact Cars/Compact Cars (Used)"
"80102","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Convertibles"
"80173","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Convertibles/Convertibles (New)"
"80113","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Convertibles/Convertibles (Used)"
"80103","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Coupes"
"80174","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Coupes/Coupes (New)"
"80170","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Coupes/Coupes (Used)"
"80110","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Crossovers"
"80175","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Crossovers/Crossovers (New)"
"80114","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Crossovers/Crossovers (Used)"
"80104","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Diesel Vehicles"
"80176","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Diesel Vehicles/Diesel Vehicles (New)"
"80115","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Diesel Vehicles/Diesel Vehicles (Used)"
"80105","/Autos & Vehicles/Motor Vehicles/Motor Vehicles by Type/Hatchbacks"
