"word","lang"
"4:20","en"
"15.7","en"
"69","en"
"321","en"
"420","en"
"43668","en"
"#crisisactor","en"
"#GDL","en"
"#GDLBoys","en"
"#krisskÃ¥dis","zh"
"#tidepodchallenge","en"
"#tidetvÃ¤ttkapslarutmaning","sv"
"#tvÃ¤ttkapselchallenge","sv"
"#youtubewakeup","en"
"$ex","en"
"$exy","en"
"$uicideBoy$","es"
"1 year old","en"
"1-Ã¥rs bursdag","no"
"1-Ã¥rskalas","no"
"10 bÃ¤sta barnleksakerna","zh"
"10 best toys for kids","en"
"10 facts about identity theft","en"
"10 year old","en"
"100 barneviser","da"
"100 barnvisor","es"
"100 nursery rhymes","de"
"100 slÃ¤ng","sv"
"100-slÃ¤ng","sv"
"11 dead in pittsburgh shooting","en"
"11 dead in pittsburgh synagogue shooting","en"
"11 people dead in pittsburgh attack","en"
"11 people dead in pittsburgh shooting","en"
"11 people dead in pittsburgh synagogue attack","en"
"11 people dead in pittsburgh synagogue shooting","en"
"11 people shot in pittsburgh attack","en"
"11 people shot in pittsburgh shooting","en"
"11 people shot in pittsburgh synagogue attack","en"
"11 people shot in pittsburgh synagogue shooting","en"
"11 year old","en"
"11th Hour Remnant Messenger","en"
"12 people killed at borderline bar","en"
"12 people killed at thousand oaks","en"
"12 year old","en"
"13 year old","en"
"130 frygtes omkommet i forlis ud for Djibouti","da"
"130 migranter forsvundet ud for Djibouti","da"
"14500 documents","en"
"16 unidentified africans killed in nairobi attack","en"
"1776 will commence again","en"
"187: Ride or Die","af"
"1st degree murder","nl"
"1uder","en"
"1uderfjÃ¦s","zh"
"1xtra","en"
"2 chainz","en"
"2 girls 1 cup","en"
"2 hot 4 u","en"
"2 injured in alabama mall shooting","en"
"2 jenter 1 kopp","pl"
"2 piger 1 kop","da"
"2 year old","en"
"200 m rÃ¸v","zh"
"200 meters ass","en"
"200 meters rÃ¦v","zh"
"200 meters rÃ¶v","zh"
"2000s cartoons","en"
"2004 madrid bombings","en"
"2004 madrid bombningar","sv"
"2004 madrid tÃ¥gbombningar","nn"
"2004 madrid togbombinger","en"
"2004 madrid train bombings","en"
"2004 madridbombinger","da"
"2008 leker","nl"
"2008 leksaker","en"
"2008 toys","en"
"2011 hip hop songs","en"
"2011 Norway attacks","en"
